id_mata_kuliah	kd_mata_kuliah	nama_mata_kuliah	nama_mata_kuliah_english	sks	semester	tingkat_mata_kuliah	index_minimum	id_program_studi	nama_prodi	nama_prodi_en
634	AKD23D0	LAB. INTERNET	INTERNET LABORATORY	0	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
635	AKD62E3	PENGANTAR APLIKASI KOMPUTER	INTRODUCTION TO COMPUTER APPLICATION	3	Genap	1	C	3	AKUNTANSI	ACCOUNTING
636	AKD63C3	MANAJEMEN KEUANGAN	FINANCIAL MANAGEMENT	3	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
637	AKD43H2	MANAJEMEN KEUANGAN	FINANCIAL MANAGEMENT	2	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
638	AKD63D3	MANAJEMEN KEUANGAN I	FINANCIAL MANAGEMENT I	3	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
639	AKD64B3	MANAJEMEN KEUANGAN II	FINANCIAL MANAGEMENT II	3	Genap	2	C	3	AKUNTANSI	ACCOUNTING
640	AKD22A2	MATEMATIKA KEUANGAN	FINANCIAL MATHEMATICS	2	Genap	1	C	3	AKUNTANSI	ACCOUNTING
641	AKD45E3	MANAJEMEN OPERASIONAL	OPERATIONAL MANAGEMENT	3	Ganjil	3	C	3	AKUNTANSI	ACCOUNTING
642	AKD73A3	MANAJEMEN PEMASARAN	MARKETING MANAGEMENT	3	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
643	AKD73B3	MANAJEMEN SUMBER DAYA MANUSIA	HUMAN RESOURCE MANAGEMENT	3	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
644	AKD15B2	MANAJEMEN PEMASARAN	MARKETING MANAGEMENT	2	Ganjil	3	C	3	AKUNTANSI	ACCOUNTING
645	AKD73C3	TEORI AKUNTANSI	ACCOUNTING THEORY	3	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
646	AKD75A3	BISNIS INTERNASIONAL	INTERNATIONAL BUSINESS	3	Ganjil	3	C	3	AKUNTANSI	ACCOUNTING
647	AKD73D3	STATISTIKA	STATISTICS	3	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
648	AKD43C2	LAB. STATISTIKA	STATISTICS LABORATORY	2	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
649	AKD53B2	STATISTIKA I	STATISTICS I	2	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
650	AKD93A3	STATISTIKA EKONOMI & BISNIS I	STATISTICS FOR ECONOMICS AND BUSINESS I	3	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
651	AKD93B0	LAB. STAT. EKONOMI & BISNIS I	STATISTICS FOR ECONOMICS AND BUSINESS LABORATORY I	0	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
652	AKD23A3	AKUNTANSI BIAYA	COST ACCOUNTING	3	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
653	AKD23B2	LAB. AKUNTANSI BIAYA	COST ACCOUNTING LABORATORY	2	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
654	AKD73E4	AKUNTANSI BIAYA	COST ACCOUNTING	4	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
655	AKD53C3	AKUNTANSI BIAYA I	COST ACCOUNTING I	3	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
656	AKD23C2	LAB. AKUNTANSI BIAYA I	COST ACCOUNTING LABORATORY I	2	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
657	AKD54A3	AKUNTANSI BIAYA II	COST ACCOUNTING II	3	Genap	2	C	3	AKUNTANSI	ACCOUNTING
658	AKD54B2	LAB. AKUNTANSI BIAYA II	COST ACCOUNTING LABORATORY II	2	Genap	2	C	3	AKUNTANSI	ACCOUNTING
659	AKD83A3	AKUNTANSI KEUANGAN	FINANCIAL ACCOUNTING	3	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
660	AKD53D3	AKUNTANSI KEUANGAN I	FINANCIAL ACCOUNTING I	3	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
661	AKD43D2	LAB. AKUNTANSI KEUANGAN I	FINANCIAL ACCOUNTING LABORATORY I	2	Ganjil	2	C	3	AKUNTANSI	ACCOUNTING
662	AKD15A0	SERTIFIKASI AKUNTANSI	ACCOUNTING CERTIFICATION	0	Ganjil	3	C	3	AKUNTANSI	ACCOUNTING
663	AKD04A2	PRA-SERTIFIKASI AKUNTANSI	ACCOUNTING PRE-CERTIFICATION	2	Genap	2	C	3	AKUNTANSI	ACCOUNTING
664	AKD74A3	AKUNTANSI KEUANGAN II	FINANCIAL ACCOUNTING II	3	Genap	2	C	3	AKUNTANSI	ACCOUNTING
665	AKD54C2	LAB. AKUNTANSI KEUANGAN II	FINANCIAL ACCOUNTING LABORATORY II	2	Genap	2	C	3	AKUNTANSI	ACCOUNTING
666	AKD55A3	AKUNTANSI KEUANGAN LANJUTAN	ADVANCED FINANCIAL ACCOUNTING	3	Ganjil	3	C	3	AKUNTANSI	ACCOUNTING
667	AKD35B2	LAB. AKT. KEUANGAN LANJUTAN	ADVANCED FINANCIAL ACCOUNTING LABORATORY	2	Ganjil	3	C	3	AKUNTANSI	ACCOUNTING
668	AKD35C2	LAB. AKUNTANSI KEU. LANJUTAN	ADVANCED FINANCIAL ACCOUNTING LABORATORY	2	Ganjil	3	C	3	AKUNTANSI	ACCOUNTING
669	AKD35D2	LAB. AKT. KEU. LANJUTAN I	ADVANCED FINANCIAL ACCOUNTING LABORATORY I	2	Ganjil	3	C	3	AKUNTANSI	ACCOUNTING
